disposition,pl_orbper,pl_orbsmax,pl_rade,pl_eqt,st_teff,st_rad,st_mass,sy_dist
CANDIDATE,1.814553,,,,4618.0,10.0566,,3901.1
CANDIDATE,17.1541,,,,4930.0,16.1325,,6475.27
CANDIDATE,12.1507,,1.48,,,0.83,,138.859
CANDIDATE,2.4343734,,61.4,,5568.0,0.9,,701.156
CANDIDATE,1.git add -A
git commit -m "feat(evaluation): unify KOI/TOI/K2 evaluation and refresh cleaned data/models" `
  -m "Add reports/eval_metrics_temp.py to compute accuracy/precision/recall/AUC + confusion matrices and TOI gating sweep" `
  -m "Include K2 evaluation in the same script (imputation + director usage stats)" `
  -m "Make K2 package imports resilient by making visualization dependencies optional (k2_system/__init__.py)" `
  -m "Update TOI director gating defaults (toi_system/utils/config.py)" `
  -m "Update data processing utilities (koi_system/utils/data_utils.py, k2_system/utils/data_utils.py) and K2 feature config (k2_system/config/k2_config.py)" `
  -m "Refresh trained artifacts for KOI/TOI/K2 (saved models, scalers, metadata/history)" `
  -m "Add cleaned datasets (data/clean/k2_full.csv, data/clean/toi_full_clean.csv)" `
  -m "Add verification script/report (verify_all_systems.py, INFORME_VERIFICACION.md) and update deep-dive report (reports/analisis_profundidad.md)" `
  -m "Add generated logs under logs/"8490876,,17.3,,5693.0,0.96,,502.407
CANDIDATE,2.620724,,11.7,,6013.0,1.14,,419.286
CANDIDATE,2.620799,,37.0,,,1.725,,419.286
CANDIDATE,2.62077,,58.0,,6302.0,1.4,,419.286
CANDIDATE,1.314437,,3.09990986,,6009.0,1.472064,,391.428
CANDIDATE,1.3144014,,2.78,,6137.0,1.23,,391.428
CANDIDATE,4.8045244,,3.62,,6187.0,1.28,,704.55
CANDIDATE,6.14818,,,,6591.31,2.29043,,367.29
CANDIDATE,1.49761,,,,,,,287.802
CANDIDATE,6.479656,,3.33165021,,5586.0,0.921539,,433.512
CANDIDATE,6.48167,,3.46,,,0.922,,433.512
CANDIDATE,6.4804111,,3.39,,5537.0,0.89,,433.512
CANDIDATE,2.8445331,,65.3,,6045.0,1.16,,304.179
CANDIDATE,0.6687,,2.22,,,1.942,,236.832
CANDIDATE,13.3461,,42.0,,,2.575,,724.25
CANDIDATE,4.13737,,24.5,,,1.03,,680.973
CANDIDATE,4.1376047,,7.33,,4581.0,0.7,,680.973
CANDIDATE,2.469851,,6.6,,,1.479,,252.6583
CANDIDATE,0.690458,,,,6912.12,1.50882,,459.014
CANDIDATE,0.689647,,6.58,,6481.0,1.08,,459.014
CANDIDATE,4.1687922,,16.1,,6005.0,1.14,,337.891
CANDIDATE,21.17051,,81.0,,,2.536,,764.195
CANDIDATE,5.31937553733,,19.66846395,1698.93,6350.0,2.36934,,835.907
CANDIDATE,5.319075,,20.0,,,2.28,,835.907
FALSE POSITIVE,12.86772,,71.0,,6861.0,1.79,,760.324
FALSE POSITIVE,12.866412,,61.0,,,1.642,,760.324
FALSE POSITIVE,12.866539,,22.3,,6066.0,1.18,,760.324
FALSE POSITIVE,1.8461222,,19.5,,7536.0,1.82,,1120.21
FALSE POSITIVE,1.84617,,2.14,,3252.0,0.21,,1120.21
